text,label
Je me sens souvent fatigué sans raison apparente.,0
"J'ai des maux de tête fréquents, surtout le matin.",0
Ma vision devient parfois floue sans raison.,0
Je ressens des étourdissements lorsque je me lève trop vite.,0
J'ai des saignements de nez occasionnels sans cause évidente.,0
Je me sens essoufflé même après un effort léger.,0
J'ai des douleurs thoraciques légères de temps en temps.,0
Je ressens des palpitations cardiaques sans faire d'exercice.,0
J'ai des difficultés à dormir et je me réveille souvent la nuit.,0
Je me sens anxieux et irritable sans raison.,0
J'ai des bourdonnements d'oreilles fréquents.,0
Je ressens une pression dans ma poitrine de temps en temps.,0
J'ai des crampes musculaires sans avoir fait d'effort intense.,0
Je me sens souvent confus et j'ai du mal à me concentrer.,0
J'ai des sueurs excessives sans raison apparente.,0
Je ressens une fatigue intense même après une bonne nuit de sommeil.,0
J'ai des nausées occasionnelles sans cause identifiable.,0
Je me sens souvent faible et sans énergie.,0
J'ai des douleurs dans le cou et les épaules sans raison.,0
Je ressens une oppression dans la poitrine de temps en temps.,0
J'ai des vertiges fréquents sans raison apparente.,0
Je me sens souvent tendu et stressé sans raison.,0
J'ai des douleurs dans la nuque qui apparaissent soudainement.,0
Je ressens des picotements dans les mains et les pieds.,0
J'ai des troubles de la mémoire et j'oublie souvent les choses.,0
Je me sens souvent étourdi et désorienté.,0
J'ai des douleurs abdominales sans cause évidente.,0
Je ressens une fatigue constante même après m'être reposé.,0
J'ai des maux de tête pulsatiles qui durent longtemps.,0
Je me sens souvent essoufflé sans avoir fait d'effort.,0
J'ai des douleurs dans les jambes sans raison apparente.,0
Je ressens des battements irréguliers dans ma poitrine.,0
J'ai des troubles du sommeil et je me réveille souvent.,0
Je me sens souvent agité et incapable de me détendre.,0
J'ai des douleurs dans la mâchoire sans raison.,0
Je ressens une pression dans les tempes qui est très inconfortable.,0
J'ai des troubles de la vision qui viennent et partent.,0
Je me sens souvent faible et sans force.,0
J'ai des douleurs dans le dos sans raison apparente.,0
Je ressens des étourdissements en me levant brusquement.,0
J'ai des saignements des gencives sans cause évidente.,0
Je me sens souvent fatigué et sans motivation.,0
J'ai des douleurs dans les bras sans raison.,0
Je ressens une oppression dans la tête qui est très désagréable.,0
J'ai des troubles de l'équilibre sans raison apparente.,0
Je me sens souvent tendu et incapable de me détendre.,0
J'ai des douleurs dans les jambes qui me réveillent la nuit.,0
Je ressens des palpitations qui me font peur.,0
J'ai des troubles de la concentration qui affectent mon travail.,0
Je me sens souvent essoufflé même au repos.,0
J'ai des douleurs dans les épaules sans raison.,0
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,0
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,0
Je me sens souvent étourdi et j'ai du mal à me concentrer.,0
J'ai des douleurs dans la poitrine qui me font peur.,0
Je ressens des picotements dans les doigts sans raison.,0
J'ai des troubles de la mémoire qui m'inquiètent.,0
Je me sens souvent faible et sans énergie.,0
J'ai des douleurs dans le cou qui apparaissent soudainement.,0
Je ressens des étourdissements fréquents qui m'inquiètent.,0
J'ai des saignements de nez qui sont très inquiétants.,0
Je me sens souvent fatigué et sans motivation.,0
J'ai des douleurs dans les bras sans raison apparente.,0
Je ressens une oppression dans la tête qui est très inconfortable.,0
J'ai des troubles de l'équilibre qui m'inquiètent.,0
Je me sens souvent tendu et incapable de me détendre.,0
J'ai des douleurs dans les jambes qui me réveillent la nuit.,0
Je ressens des palpitations qui me font peur.,0
J'ai des troubles de la concentration qui affectent mon travail.,0
Je me sens souvent essoufflé même au repos.,0
J'ai des douleurs dans les épaules sans raison apparente.,0
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,0
J'ai remarqué que j'ai souvent mal à la tête et que ma vision devient floue de temps en temps.,0
Je me sens constamment fatigué et j'ai des difficultés à respirer même après un effort léger.,0
Mon médecin m'a dit que j'avais un bruit dans les artères du cou lors de mon dernier examen.,0
J'ai des palpitations fréquentes et je me sens souvent anxieux sans raison apparente.,0
Je ressens une douleur intense dans la poitrine qui irradie vers mon bras gauche.,0
J'ai souvent des essoufflements même lorsque je suis au repos.,0
"Je me sens très fatigué et faible, même après une bonne nuit de sommeil.",0
J'ai des palpitations cardiaques qui me font très peur.,0
Mes jambes gonflent et je ressens une lourdeur constante.,0
Je tousse beaucoup la nuit et j'ai du mal à respirer quand je suis allongé.,0
J'ai des étourdissements fréquents et je me sens parfois proche de l'évanouissement.,0
"Ma tension artérielle reste élevée malgré mes médicaments.,",0
J'ai souvent soif même après avoir bu beaucoup d'eau.,2
Je me sens très fatigué ces derniers temps sans raison.,2
J'urine beaucoup plus souvent surtout la nuit.,2
J'ai remarqué que mes plaies guérissent très lentement.,2
Mes pieds me picotent et parfois j'ai des fourmillements.,2
J'ai perdu du poids sans faire de régime.,2
J'ai souvent faim même après les repas.,2
Ma vision est parfois floue surtout en fin de journée.,2
J'ai une sensation de brûlure dans mes jambes.,2
Je me sens irritable sans raison apparente.,2
J'ai des infections urinaires à répétition.,2
J'ai des démangeaisons fréquentes au niveau de la peau.,2
J'ai la bouche sèche en permanence.,2
Je remarque que mes gencives saignent facilement.,2
J'ai des crampes musculaires qui reviennent souvent.,2
Je me sens faible et sans énergie.,2
J'ai des vertiges lorsque je me lève trop vite.,2
J'ai du mal à cicatriser après une coupure.,2
Mes pieds sont froids et j'ai parfois des douleurs.,2
J'ai des infections de la peau qui ne passent pas facilement.,2
Mon appétit est très variable je peux manger beaucoup puis rien.,2
Je transpire beaucoup même sans effort.,2
J'ai souvent des nausées sans cause évidente.,2
Mes mains sont souvent engourdies.,2
J'ai des picotements dans les doigts et les orteils.,2
Je perds l'équilibre de temps en temps.,2
J'ai du mal à me concentrer au travail.,2
Je me sens parfois très anxieux sans raison.,2
J'ai remarqué que ma peau est devenue plus foncée au niveau du cou.,2
J'ai une sensation de soif intense la nuit.,2
J'ai souvent la tête lourde et mal au crâne.,2
J'ai un goût métallique dans la bouche.,2
Mes ongles sont cassants et déformés.,2
Je ressens une fatigue intense après chaque repas.,2
