text,label
Je me sens souvent fatigué sans raison apparente.,0
"J'ai des maux de tête fréquents, surtout le matin.",0
Ma vision devient parfois floue sans raison.,0
Je ressens des étourdissements lorsque je me lève trop vite.,0
J'ai des saignements de nez occasionnels sans cause évidente.,0
Je me sens essoufflé même après un effort léger.,0
J'ai des douleurs thoraciques légères de temps en temps.,0
Je ressens des palpitations cardiaques sans faire d'exercice.,0
J'ai des difficultés à dormir et je me réveille souvent la nuit.,0
Je me sens anxieux et irritable sans raison.,0
J'ai des bourdonnements d'oreilles fréquents.,0
Je ressens une pression dans ma poitrine de temps en temps.,0
J'ai des crampes musculaires sans avoir fait d'effort intense.,0
Je me sens souvent confus et j'ai du mal à me concentrer.,0
J'ai des sueurs excessives sans raison apparente.,0
Je ressens une fatigue intense même après une bonne nuit de sommeil.,0
J'ai des nausées occasionnelles sans cause identifiable.,0
Je me sens souvent faible et sans énergie.,0
J'ai des douleurs dans le cou et les épaules sans raison.,0
Je ressens une oppression dans la poitrine de temps en temps.,0
J'ai des vertiges fréquents sans raison apparente.,0
Je me sens souvent tendu et stressé sans raison.,0
J'ai des douleurs dans la nuque qui apparaissent soudainement.,0
Je ressens des picotements dans les mains et les pieds.,0
J'ai des troubles de la mémoire et j'oublie souvent les choses.,0
Je me sens souvent étourdi et désorienté.,0
J'ai des douleurs abdominales sans cause évidente.,0
Je ressens une fatigue constante même après m'être reposé.,0
J'ai des maux de tête pulsatiles qui durent longtemps.,0
Je me sens souvent essoufflé sans avoir fait d'effort.,0
J'ai des douleurs dans les jambes sans raison apparente.,0
Je ressens des battements irréguliers dans ma poitrine.,0
J'ai des troubles du sommeil et je me réveille souvent.,0
Je me sens souvent agité et incapable de me détendre.,0
J'ai des douleurs dans la mâchoire sans raison.,0
Je ressens une pression dans les tempes qui est très inconfortable.,0
J'ai des troubles de la vision qui viennent et partent.,0
Je me sens souvent faible et sans force.,0
J'ai des douleurs dans le dos sans raison apparente.,0
Je ressens des étourdissements en me levant brusquement.,0
J'ai des saignements des gencives sans cause évidente.,0
Je me sens souvent fatigué et sans motivation.,0
J'ai des douleurs dans les bras sans raison.,0
Je ressens une oppression dans la tête qui est très désagréable.,0
J'ai des troubles de l'équilibre sans raison apparente.,0
Je me sens souvent tendu et incapable de me détendre.,0
J'ai des douleurs dans les jambes qui me réveillent la nuit.,0
Je ressens des palpitations qui me font peur.,0
J'ai des troubles de la concentration qui affectent mon travail.,0
Je me sens souvent essoufflé même au repos.,0
J'ai des douleurs dans les épaules sans raison.,0
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,0
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,0
Je me sens souvent étourdi et j'ai du mal à me concentrer.,0
J'ai des douleurs dans la poitrine qui me font peur.,0
Je ressens des picotements dans les doigts sans raison.,0
J'ai des troubles de la mémoire qui m'inquiètent.,0
Je me sens souvent faible et sans énergie.,0
J'ai des douleurs dans le cou qui apparaissent soudainement.,0
Je ressens des étourdissements fréquents qui m'inquiètent.,0
J'ai des saignements de nez qui sont très inquiétants.,0
Je me sens souvent fatigué et sans motivation.,0
J'ai des douleurs dans les bras sans raison apparente.,0
Je ressens une oppression dans la tête qui est très inconfortable.,0
J'ai des troubles de l'équilibre qui m'inquiètent.,0
Je me sens souvent tendu et incapable de me détendre.,0
J'ai des douleurs dans les jambes qui me réveillent la nuit.,0
Je ressens des palpitations qui me font peur.,0
J'ai des troubles de la concentration qui affectent mon travail.,0
Je me sens souvent essoufflé même au repos.,0
J'ai des douleurs dans les épaules sans raison apparente.,0
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,0
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,0
Je me sens souvent étourdi et j'ai du mal à me concentrer.,0
J'ai des douleurs dans la poitrine qui me font peur.,0
Je ressens des picotements dans les doigts sans raison apparente.,0
J'ai des troubles de la mémoire qui m'inquiètent.,0
Je me sens souvent faible et sans énergie.,0
J'ai des douleurs dans le cou qui apparaissent soudainement.,0
Je ressens des étourdissements fréquents qui m'inquiètent.,0
J'ai des saignements de nez qui sont très inquiétants.,0
Je me sens souvent fatigué et sans motivation.,0
J'ai des douleurs dans les bras sans raison apparente.,0
Je ressens une oppression dans la tête qui est très inconfortable.,0
J'ai des troubles de l'équilibre qui m'inquiètent.,0
Je me sens souvent tendu et incapable de me détendre.,0
J'ai des douleurs dans les jambes qui me réveillent la nuit.,0
Je ressens des palpitations qui me font peur.,0
J'ai des troubles de la concentration qui affectent mon travail.,0
Je me sens souvent essoufflé même au repos.,0
J'ai des douleurs dans les épaules sans raison apparente.,0
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,0
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,0
Je me sens souvent étourdi et j'ai du mal à me concentrer.,0
J'ai des douleurs dans la poitrine qui me font peur.,0
Je ressens des picotements dans les doigts sans raison apparente.,0
J'ai des troubles de la mémoire qui m'inquiètent.,0
Je me sens souvent faible et sans énergie.,0
J'ai des douleurs dans le cou qui apparaissent soudainement.,0
Je ressens des étourdissements fréquents qui m'inquiètent.,0
J'ai des saignements de nez qui sont très inquiétants.,0
Je me sens souvent fatigué et sans motivation.,0
J'ai des douleurs dans les bras sans raison apparente.,0
Je ressens une oppression dans la tête qui est très inconfortable.,0
J'ai des troubles de l'équilibre qui m'inquiètent.,0
Je me sens souvent tendu et incapable de me détendre.,0
J'ai des douleurs dans les jambes qui me réveillent la nuit.,0
Je ressens des palpitations qui me font peur.,0
J'ai des troubles de la concentration qui affectent mon travail.,0
Je me sens souvent essoufflé même au repos.,0
J'ai des douleurs dans les épaules sans raison apparente.,0
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,0
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,0
Je me sens souvent étourdi et j'ai du mal à me concentrer.,0
J'ai des douleurs dans la poitrine qui me font peur.,0
Je ressens des picotements dans les doigts sans raison apparente.,0
J'ai des troubles de la mémoire qui m'inquiètent.,0
